id	date	name	location	distance	category	race_type	created_at	race_website	verified	series
168	2018-05-16	Filter Temposari II etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
135	2018-05-19	21. Tallinna Rattamaraton - XXL-sõit	Tallinn		C	MTB	2025-02-05 11:50:17.838455	https://www.rattamaratonid.ee/		Bosch
97	2018-05-19	21. Tallinna Rattamaraton	Tallinn		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
7	2018-05-27	37. Tartu Rattaralli	Tartu	134.6	B	Road Race	2025-01-28 13:18:52.352167	https://tartumaraton.ee/		
169	2018-05-30	Filter Temposari III etapp	Pirita	9.72	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
241	2018-06-02	Neolife 4. Valgehobusemäe Rattamaraton	Valgehobusemäe		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
137	2018-06-09	12. Jõelähtme Rattamaraton - XXL-sõit	Jõelähtme		B	MTB	2025-02-05 11:52:38.319607	https://www.rattamaratonid.ee/		Bosch
98	2018-06-09	12. Jõelähtme Rattamaraton	Jõelähtme		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
170	2018-06-13	Filter Temposari IV etapp	Jüri	13.3	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
242	2018-06-16	11. Kalevipoja Rattamaraton	Kuremaa		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
99	2018-06-17	16. Rakvere Rattamaraton	Rakvere		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
243	2018-07-07	Frank Kutter 16. Raplamaa Rattamaraton	Raplamaa		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
100	2018-07-15	Škoda Laagri 18. Rakke Rattamaraton	Rakke		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
171	2018-07-25	Filter Temposari V etapp	Kiili	25.12	C	TTP	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
244	2018-07-29	Rand & Tuulberg 18. Elva Rattamaraton	Elva		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
172	2018-08-08	Filter Temposari VI etapp	Maardu	9.8	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
245	2018-08-11	1. Hauka Laada Rattamaraton	Antsla		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
136	2018-08-19	20. Rõuge Rattamaraton - XXL-sõit	Rõuge		C	MTB	2025-02-05 11:50:17.838455	https://www.rattamaratonid.ee/		Bosch
101	2018-08-19	20. Rõuge Rattamaraton	Rõuge		C	MTB	2025-01-31 19:25:19.276188	https://www.rattamaratonid.ee/		Bosch
246	2018-08-25	19. Jõulumäe Rattamaraton	Jõulumäe		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
173	2018-08-26	Filter Temposari Finaal	Ikla	24.94	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
30	2018-09-16	21. Tartu Rattamaraton	Otepää	89	B	MTB	2025-01-29 12:53:02.712682	https://tartumaraton.ee/		
247	2018-09-29	8. Karujärve Rattamaraton	Karujärve		C	MTB	2025-04-22 17:11:17.553879	https://estoniancup.ee		Estonian Cup
125	2018-12-31	Bosch MTB Marathon Series GC 2018	Estonia		B	GC	2025-02-03 15:01:15.826176	https://www.rattamaratonid.ee/		Bosch
236	2018-12-31	Estonian Cup Marathon Series GC 2018	Estonia		B	GC	2025-04-22 16:59:51.512181	https://estoniancup.ee		Estonian Cup
174	2019-05-01	Filter Temposari I etapp	Jüri	14.98	C	TT	2025-02-05 21:50:28.195088	https://www.aerobike.ee		Filter Temposari
